Size,ArrayType,Algorithm,TimeMs,Comparisons
2400,CommonPrefix,MSD_QS,0.902371,84070
2500,Random,MergeSort,1.81534,70598
2500,Random,QuickSort,0.328155,42162
2500,Random,StringMergeSort,1.57071,35654
2500,Random,StringQuickSort,0.203415,30151
2500,Random,MSD,0.621877,11824
2500,Random,MSD_QS,0.201424,18000
2500,Reverse,MergeSort,1.50888,63636
2500,Reverse,QuickSort,7.38093,3174827
2500,Reverse,StringMergeSort,1.71929,21212
2500,Reverse,StringQuickSort,0.379058,107191
2500,Reverse,MSD,0.551184,12144
2500,Reverse,MSD_QS,0.272087,46963
2500,NearlySorted,MergeSort,1.5471,47455
2500,NearlySorted,QuickSort,1.22654,658731
2500,NearlySorted,StringMergeSort,1.63463,31403
2500,NearlySorted,StringQuickSort,0.432603,98627
2500,NearlySorted,MSD,0.496931,12080
2500,NearlySorted,MSD_QS,0.181532,22555
2500,CommonPrefix,MergeSort,1.84453,766180
2500,CommonPrefix,QuickSort,0.415034,453133
2500,CommonPrefix,StringMergeSort,1.95676,386880
2500,CommonPrefix,StringQuickSort,0.227446,67472
2500,CommonPrefix,MSD,1.33842,81732
